name,description,website,estimated_users,estimated_revenue,pricing_model,confidence_score,source,source_url,launch_date,founder_ceo,review_count,average_rating,most_helpful_review,comments_count,overall_sentiment,positive_percentage,negative_percentage
General Task (Beta),"General Task is the best way to take control of your workday. Prioritize your work using AI, integrate with your team’s task managers, see your pull requests, take notes, and plan your day with your calendar, all in one place.",https://x.com/ProductHunt,450,Early stage,Subscription,0.95,Product Hunt,https://www.producthunt.com/posts/general-task-beta,2023-01-16,Julian Christensen,9,4.44,"Really like the first few minutes with GT. 4 Column view works really well for me as I get an overview of my tasks and their progress without moving much within the app.
In the few days to come I Will be actively using this for my daily work to see how far the features available help me but so far I am liking it.",0,neutral,0.0,0.0
28 Tasks Later,A simple task manager with a zombie twist.,https://x.com/ProductHunt,50,Early stage,Unknown,0.95,Product Hunt,https://www.producthunt.com/posts/28-tasks-later,2025-04-25,Peter Buchroithner,1,5.0,It makes boring to do lists into something more fun and do-able,0,neutral,0.0,0.0
Superlist,"Superlist is the home for all your lists. From team projects to grocery runs, get it all done in one place. Intuitive, private by default, and integrated with everything you already use, it’s built to work the way you do. With Superlist, you can do it all: Create to-do lists, capture thoughts or detailed notes, assign tasks to teammates, and everything in between. Whether you’re coordinating with a co-worker or planning an upcoming vacation, manage your whole life from work to home in Superlist.",https://x.com/ProductHunt,2750,$10K+ ARR,Subscription,0.95,Product Hunt,https://www.producthunt.com/posts/superlist,2023-08-21,Frank,55,4.65,"I just got access to the beta. I spent 10 minutes with it. First impression: I'm in love.
It will show over a week of daily driving where the cracks might be, but so far the onboarding and the first few interactions are super promising. 
Kudos Superlist folks! 
(are you ex-wunderlist, ex-msft? A lot of the logic feels purported from msft todo...)",0,neutral,0.0,0.0
Enqo,"Enqo is the singular platform that seamlessly integrates messaging and task management, revolutionizing team collaboration. It facilitates efficient collaboration across multiple teams while offering precise control over task access.",https://x.com/ProductHunt,450,Early stage,Unknown,0.95,Product Hunt,https://www.producthunt.com/posts/enqo,2023-11-21,Sofia Krikanova,9,4.89,"Breaking app for those who want more than task manager. Really great feature with chat, never saw this before in such apps.",0,neutral,0.0,0.0
Task Architect,Task Architect is an unparalleled task system designed to help you prioritize your high value tasks so you can stop procrastinating and get more done.,https://x.com/ProductHunt,250,Early stage,Unknown,0.95,Product Hunt,https://www.producthunt.com/posts/task-architect,2022-11-09,Pascio,5,5.0,"I think this is 🔥🔥🔥!!! 1) Pascio puts out great content and I use many of his products & 2) Having something like this is perfect for me, at work and at home!",0,neutral,0.0,0.0
Bardeen,One-click automations for your repetitive tasks,N/A,2650,N/A,N/A,0.9,Product Hunt,https://www.producthunt.com/posts/bardeen,N/A,N/A,N/A,N/A,N/A,0,neutral,0.0,0.0
TaskTree,A gamified todo list app especially for people with ADHD.,N/A,N/A,N/A,N/A,0.9,Product Hunt,https://www.producthunt.com/posts/tasktree,N/A,N/A,N/A,N/A,N/A,0,neutral,0.0,0.0
Strawberry,Your browser with AI superpowers,N/A,800,N/A,N/A,0.9,Product Hunt,https://www.producthunt.com/posts/strawberry,N/A,N/A,N/A,N/A,N/A,0,neutral,0.0,0.0
Amploo,All-in-one tool for SMEs: Optimize processes \u0026 connect teams,N/A,300,N/A,N/A,0.9,Product Hunt,https://www.producthunt.com/posts/amploo,N/A,N/A,N/A,N/A,N/A,0,neutral,0.0,0.0
ASSISTA AI,Build powerful automations using natural language.,N/A,250,N/A,N/A,0.9,Product Hunt,https://www.producthunt.com/posts/assista-ai,N/A,N/A,N/A,N/A,N/A,0,neutral,0.0,0.0
