name,description,website,estimated_users,estimated_revenue,pricing_model,confidence_score,source,source_url,launch_date,founder_ceo,review_count,average_rating,package_name
ChatGPT,"Introducing ChatGPT for Android: OpenAI’s latest advancements at your fingertips.

This official app is free, syncs your history across devices, and brings you the latest from OpenAI, including the new image generator.

With ChatGPT in your pocket, you’ll find:

· Image generation–Generate original images from a description, or transform existing ones with a few simple words. 
· Advanced Voice Mode–Tap the soundwave icon to have a real-time convo on the go. Settle a dinner table debate, or practice a new language. 
· Photo upload—Snap or upload a picture to transcribe a handwritten recipe or get info about a landmark. 
· Creative inspiration—Find custom birthday gift ideas or create a personalized greeting card.
· Tailored advice—Talk through a tough situation, ask for a detailed travel itinerary, or get help crafting the perfect response. 
· Personalized learning—Explain electricity to a dinosaur-loving kid or easily brush up yourself on a historic event.
· Professional input—Brainstorm marketing copy or map out a business plan.
· Instant answers—Get recipe suggestions when you only have a few ingredients.

Join hundreds of millions of users and try the app captivating the world. Download ChatGPT today.

Terms of service & privacy policy:
https://openai.com/policies/terms-of-use
https://openai.com/policies/privacy-policy",https://help.openai.com,"500,000,000+",N/A,Freemium,0.9,Google Play Store,https://play.google.com/store/apps/details?id=com.openai.chatgpt,"Jul 21, 2023",OpenAI,93373,4.7788334,com.openai.chatgpt
Google Gemini,"Supercharge your creativity and productivity with Gemini, your AI assistant from Google.

Gemini gives you direct access to Google’s best family of AI models on your phone so you can:

- Go Live with Gemini to brainstorm ideas, simplify complex topics, and rehearse for important moments. Just click on the Gemini Live button in your Gemini app
- Connect with your favorite Google apps like Search, YouTube, Google Maps, Gmail, and more
- Study smarter and explore any topic with interactive visuals and real-world examples
- Turn any file into a podcast that you can listen to anytime, anywhere
- Create stunning images from just a few words
- Plan trips better and faster
- Get summaries, deep dives, and source links, all in one place
- Brainstorm new ideas, or improve existing ones

Level-up your Gemini app experience by upgrading to the Pro plan–unlock new and powerful features to tackle complex tasks and projects and enjoy industry-leading 1M token context window (enabling Gemini to process up to 1,500 pages of text or 30k lines of code), and:
- Get more access our most powerful model, like 2.5 Pro
- Generate and dive into detailed reports on any topic with Deep Research powered by 2.5 Pro
- Turn words into high-quality, 8 second video clips with video generation with Veo 2, and more. 

Google AI Pro is available in 150 countries and territories, and includes additional benefits. Gemini app, as part of Google AI Pro, will continue to be available to qualifying Google Workspace business and education plans. Learn more: https://gemini.google/subscriptions/

Get the best of Gemini [app] by upgrading to the Ultra plan–unlock the highest level of access and exclusive features to turn anything into anything. Get the highest access to Google’s most powerful model, like 2.5 Pro, and features like video generation with Veo 3 and Deep Research. You’ll also get early access to try our newest AI innovations as they become available, including Agent Mode.

Gemini in Google AI Ultra is available in the US and includes additional benefits as part of a Google AI Ultra subscription. Google AI Ultra is not currently available to Google Workspace business and education customers. Learn more: https://gemini.google/subscriptions/

If you opt in to the Gemini app, it will replace your Google Assistant as the primary assistant on the phone. Some Google Assistant voice features aren't available through the Gemini app yet. You can switch back to Google Assistant in settings.

Review the Gemini Apps Privacy Notice:
https://support.google.com/gemini?p=privacy_notice",https://bard.google.com/chat,"500,000,000+",N/A,Free,0.9,Google Play Store,https://play.google.com/store/apps/details?id=com.google.android.apps.bard,"Feb 5, 2024",Google LLC,64037,4.506075,com.google.android.apps.bard
Google Calendar,"Get the official Google Calendar app, part of Google Workspace, for your Android phone, tablet, or Wear OS device to save time and make the most of every day.
• Different ways to view your calendar - Quickly switch between month, week, and day view.
• Events from Gmail - Flight, hotel, concert, restaurant reservations, and more are added to your calendar automatically.
• Tasks - Create, manage, and view your tasks alongside your events in Calendar.
• All your calendars in one place - Google Calendar works with all calendars on your phone, including Exchange.
• Never miss an event or task on the go - On Wear OS devices, Google Calendar notifies you on time and supports tiles and complications.
Google Calendar is part of Google Workspace. With Google Workspace, you and your team can:
• Schedule meetings quickly by checking coworkers availability or layering their calendars in a single view
• See if meeting rooms or shared resources are free
• Share calendars so people see full event details or just if you are free
• Access from your laptop, tablet or phone
• Publish calendars on the web
Learn more about Google Workspace: https://workspace.google.com/products/calendar/
Follow us for more:
Twitter: https://twitter.com/googleworkspace
Linkedin: https://www.linkedin.com/showcase/googleworkspace
Facebook: https://www.facebook.com/googleworkspace/",http://support.google.com/calendar?p=mobilesync,"5,000,000,000+",N/A,Free,0.9,Google Play Store,https://play.google.com/store/apps/details?id=com.google.android.calendar,"Oct 17, 2012",Google LLC,94367,4.555665,com.google.android.calendar
Google Keep - Notes and lists,"Quickly capture what’s on your mind and get a reminder later at the right place or time. Speak a voice memo on the go and have it automatically transcribed. Grab a photo of a poster, receipt or document and easily organize or find it later in search. Google Keep makes it easy to capture a thought or list for yourself, and share it with friends and family.

Capture what’s on your mind
• Add notes, lists and photos to Google Keep. Pressed for time? Record a voice memo and Keep will transcribe it so you can find it later.
• Take advantage of widgets on your phone and tablet and add tiles and complications to your Wear OS device to quickly capture your thoughts.
Share ideas with friends and family
• Easily plan that surprise party by sharing your Keep notes with others and collaborating on them in real time.
Find what you need, fast
• Color and add labels to notes to quickly organize and get on with your life. If you need to find something you saved, a simple search will turn it up.
• Pin notes to your phone or tablet homescreen with widgets and add shortcuts to your notes with tiles on a Wear OS device.
Always within reach
• Keep works on your phone, tablet, computer and Wear OS device. Everything you add syncs across all of your devices so your thoughts are always with you.
The right note at the right time
• Need to remember to pick up some groceries? Set a location-based reminder to pull up your grocery list right when you get to the store.
Available everywhere
• Try Google Keep on the web at http://keep.google.com and find it in the Chrome Web Store at http://g.co/keepinchrome.",https://support.google.com/?p=notes_main,"1,000,000,000+",N/A,Free,0.9,Google Play Store,https://play.google.com/store/apps/details?id=com.google.android.keep,"Mar 20, 2013",Google LLC,54776,4.751782,com.google.android.keep
Boosted Time Tracker,"Achieve more by improving your productivity with the Boosted - Productivity & Time Tracker app.  Understand your habits with insightful reports and improve your productivity and time management with various productivity tools like the Pomodoro timer and simple time tracking.

<b>Understanding is the first step to progress</b>
Improving your habits is the shortest path to self-improvement. The most effective way to do this is to understand them first. By tracking your time, you'll be able to understand your current habits and you'll be able to use this knowledge to build better ones.

<b>Time tracking should be as effortless as possible</b>
To spend the day effectively, you need to invest your time wisely. By using the productivity and time management tools in Boosted, you can make better use of your time.

We are constantly striving to make Boosted as simple as possible so that it works for you and not the other way around. Effortless time tracking - that's our goal.

<b>Let's start the change</b>
We want to help you reach your goals and we believe Boosted is a great tool for that. That's why we are constantly improving the app so you can have an awesome experience on your journey of self-improvement.

Here are some of the key features that Boosted gives you:
<span>★</span> Single click time tracking for all of your activities
<span>★</span> Stay <span>organized</span> by splitting your projects into smaller tasks
<span>★</span> Pomodoro timer, countdown timer, and many other productivity tools
<span>★</span> Export your data to CSV
<span>★</span> Control your time tracking quickly from the notification bar
<span>★</span> Keep your data safe with Google Drive backups
<span>★</span> View detailed reports and statistics of all your tracked time
<span>★</span> View all of your tracked activities in a calendar
<span>★</span> Stay productive even at night with the Dark mode
<span>★</span> No ads - stay focused without unnecessary distractions


<b>We value your privacy.</b>
Boosted doesn't store any of your personal data on our servers. All the time tracking data is stored on your phone.

You can optionally backup your data to a private folder in your Google Drive. These backups will only be accessible by the Boosted app.

You can also export your data to a CSV file and you will have full control over where that will be stored.

<b>We love feedback!</b>
You can always contact us at app.boosted@gmail.com if you have any questions or if you want something new in the app. We listen to all the feedback we get from you because we want to create an app that fits your needs!


<b>Take control of your time by installing Boosted for FREE!</b>",https://www.boostedproductivity.com,"1,000,000+",N/A,Freemium,0.9,Google Play Store,https://play.google.com/store/apps/details?id=com.boostedproductivity.app,"Dec 10, 2018",Boosted Productivity,1077,4.5413795,com.boostedproductivity.app
Todoist: Planner & Calendar,N/A,N/A,N/A,N/A,Free,0.8,Google Play Store,https://play.google.com/store/apps/details?id=com.todoist,N/A,Doist Inc.,N/A,4.5876465,com.todoist
Forest: Focus for Productivity,N/A,N/A,N/A,N/A,Free,0.8,Google Play Store,https://play.google.com/store/apps/details?id=cc.forestapp,N/A,Seekrtech,N/A,4.497147,cc.forestapp
Microsoft 365 Copilot,N/A,N/A,N/A,N/A,Free,0.8,Google Play Store,https://play.google.com/store/apps/details?id=com.microsoft.office.officehubrow,N/A,Microsoft Corporation,N/A,4.637363,com.microsoft.office.officehubrow
"Notion: Notes, Tasks, AI",N/A,N/A,N/A,N/A,Free,0.8,Google Play Store,https://play.google.com/store/apps/details?id=notion.id,N/A,"Notion Labs, Inc.",N/A,4.7158294,notion.id
Google Tasks,N/A,N/A,N/A,N/A,Free,0.8,Google Play Store,https://play.google.com/store/apps/details?id=com.google.android.apps.tasks,N/A,Google LLC,N/A,4.611699,com.google.android.apps.tasks
